lad2021+scotlandlad_id,Other,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"474,046","1,172,688","45,070","46,779","11,884","112,639","848,273"
North West,"1,419,622","3,416,608","129,750","126,533","36,687","316,047","2,154,879"
Yorkshire and The Humber,"1,033,329","2,514,047","66,777","91,817","14,896","257,176","1,616,083"
East Midlands,"901,113","2,325,965","80,256","83,458","24,702","197,681","1,378,089"
West Midlands,"1,176,804","2,766,431","95,305","104,816","19,920","257,635","1,664,776"
East of England,"1,216,431","3,028,583","96,751","86,764","15,081","236,303","1,788,751"
London,"1,690,386","4,537,771","207,885","157,332","51,107","479,026","1,821,802"
South East,"1,762,090","4,630,667","129,131","156,071","32,734","329,072","2,442,742"
South West,"974,529","2,771,240","52,413","95,688","13,866","212,315","1,691,207"
Scotland,"891,187","2,594,174","81,666","70,599","14,305","149,078","1,639,047"
Wales,"548,515","1,400,547","39,451","54,061","7,677","135,357","978,796"
TOTAL,"12,088,052","31,158,722","1,024,457","1,073,918","242,858","2,682,329","18,024,445"
