lad2021+scotlandlad_id,full_time,part_time,unemployed,students,non-working_age
North East,"913,348","306,119","640,600","112,639","738,674"
North West,"2,741,742","801,400","1,630,834","316,047","2,110,104"
Yorkshire and The Humber,"1,956,754","649,111","1,175,581","257,176","1,555,504"
East Midlands,"1,799,686","609,737","1,000,096","197,681","1,384,065"
West Midlands,"2,222,737","648,511","1,207,431","257,635","1,749,374"
East of England,"2,397,301","718,046","1,247,706","236,303","1,869,309"
London,"3,741,698","953,405","1,579,385","479,026","2,191,795"
South East,"3,640,538","1,146,200","1,650,932","329,072","2,715,765"
South West,"2,121,888","745,040","1,088,034","212,315","1,643,982"
Scotland,"2,028,812","635,961","1,207,543","149,078","1,418,662"
Wales,"1,095,638","358,970","694,901","135,357","879,538"
TOTAL,"24,660,142","7,572,498","13,123,041","2,682,329","18,256,772"
