lad2021+scotlandlad_id,SOC1,SOC2,SOC3,SOC4
North East,"494,433","491,141","233,893","1,491,913"
North West,"1,562,581","1,327,455","653,106","4,056,985"
Yorkshire and The Humber,"1,095,376","982,145","528,343","2,988,261"
East Midlands,"1,001,620","880,874","526,929","2,581,842"
West Midlands,"1,211,996","1,057,711","601,540","3,214,440"
East of England,"1,479,605","1,117,174","518,569","3,353,318"
London,"2,669,287","1,382,376","643,440","4,250,206"
South East,"2,433,638","1,671,460","681,640","4,695,769"
South West,"1,296,095","1,096,552","474,282","2,944,331"
Scotland,"1,176,288","1,005,163","483,321","2,775,282"
Wales,"594,279","591,743","268,586","1,709,796"
TOTAL,"15,015,198","11,603,794","5,613,649","34,062,142"
