lad2021+scotlandlad_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"376,402","983,395","612,909"
North West,"966,064","2,640,716","1,883,241"
Yorkshire and The Humber,"683,089","2,020,712","1,334,820"
East Midlands,"539,259","1,821,079","1,246,862"
West Midlands,"668,680","2,035,811","1,631,822"
East of England,"666,546","2,322,808","1,610,002"
London,"1,027,038","2,800,424","2,926,052"
South East,"935,851","3,426,523","2,404,368"
South West,"625,071","2,177,105","1,365,101"
Scotland,"707,580","2,049,711","1,264,103"
Wales,"391,068","1,122,811","770,987"
TOTAL,"7,586,647","23,401,097","17,050,267"
