lad2021+scotlandlad_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"378,042","738,133","856,531"
North West,"959,514","2,003,330","2,527,178"
Yorkshire and The Humber,"671,835","1,475,563","1,891,224"
East Midlands,"459,584","1,209,131","1,938,485"
West Midlands,"626,436","1,463,059","2,246,818"
East of England,"474,530","1,537,917","2,586,910"
London,"2,368,628","2,686,463","1,698,423"
South East,"723,762","2,218,452","3,824,528"
South West,"433,865","1,385,469","2,347,943"
Scotland,"631,425","1,432,643","1,957,325"
Wales,"283,276","767,662","1,233,927"
TOTAL,"8,010,897","16,917,822","23,109,291"
