lad2021+scotlandlad_id,Economically active employed,Economically active unemployed,Economically inactive
North East,"1,219,467","56,954","696,285"
North West,"3,543,141","166,437","1,780,444"
Yorkshire and The Humber,"2,605,864","81,673","1,351,084"
East Midlands,"2,409,423","104,959","1,092,818"
West Midlands,"2,871,247","115,225","1,349,841"
East of England,"3,115,347","111,833","1,372,176"
London,"4,695,103","258,992","1,799,419"
South East,"4,786,738","161,865","1,818,139"
South West,"2,866,928","66,280","1,234,069"
Scotland,"2,664,773","95,971","1,260,650"
Wales,"1,454,608","47,128","783,130"
TOTAL,"32,232,640","1,267,315","14,538,054"
