,Region,2033,2038,2043,2048,2053
0,North East,"1,182,335","1,178,870","1,174,953","1,189,212","1,212,005"
1,North West,"3,915,773","3,954,566","3,982,597","4,030,927","4,108,185"
2,Yorkshire and The Humber,"2,795,539","2,815,724","2,827,888","2,862,205","2,917,064"
3,East Midlands,"2,516,624","2,560,234","2,591,378","2,622,825","2,673,095"
4,West Midlands,"3,076,245","3,139,760","3,189,931","3,228,642","3,290,524"
5,East of England,"3,236,101","3,279,038","3,305,039","3,345,146","3,409,261"
6,London,"6,351,149","6,467,556","6,544,012","6,623,425","6,750,372"
7,South East,"4,854,864","4,893,835","4,909,964","4,969,547","5,064,796"
8,South West,"3,004,958","3,048,787","3,076,741","3,114,078","3,173,764"
9,Scotland,"2,817,717","2,795,014","2,757,786","2,745,824","2,767,837"
10,Wales,"1,473,066","1,480,736","1,477,801","1,484,882","1,512,370"
