rgn2021+scotlandrgn_id,aged 15 years and under,aged 16 to 74 years,aged 75 and over
North East,"462,759","2,043,156","389,322"
North West,"1,451,284","5,948,208","987,945"
Yorkshire and The Humber,"1,044,489","4,336,101","752,977"
East Midlands,"944,360","4,044,587","728,304"
West Midlands,"1,259,778","4,894,486","811,730"
East of England,"1,215,088","5,044,740","946,426"
London,"1,627,707","7,504,196","822,441"
South East,"1,732,364","7,306,117","1,406,042"
South West,"1,011,560","4,627,474","1,002,604"
Scotland,"814,916","4,076,507","828,973"
Wales,"506,602","2,429,350","469,176"
TOTAL,"12,070,909","52,254,922","9,145,943"
