rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"385,000","964,929","1,654,026"
North West,"874,278","2,652,144","5,166,077"
Yorkshire and The Humber,"662,128","1,913,825","3,782,736"
East Midlands,"432,487","1,573,181","3,923,702"
West Midlands,"596,064","1,940,539","4,681,588"
East of England,"368,441","1,856,233","5,250,050"
London,"1,751,720","3,428,972","5,115,460"
South East,"470,355","2,402,489","7,963,381"
South West,"351,066","1,753,580","4,793,915"
Scotland,"380,543","1,904,472","3,448,922"
Wales,"271,382","995,652","2,212,903"
TOTAL,"6,543,462","21,386,015","47,992,760"
