rgn2021+scotlandrgn_id,Other,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"470,980","1,255,748","48,308","47,804","12,685","120,370","1,048,060"
North West,"1,477,065","3,829,563","145,278","134,065","40,920","353,239","2,712,370"
Yorkshire and The Humber,"1,063,044","2,792,542","73,958","95,264","16,479","284,986","2,032,417"
East Midlands,"961,136","2,699,355","93,017","91,780","28,532","228,262","1,827,287"
West Midlands,"1,282,157","3,230,436","111,510","116,247","23,186","299,896","2,154,759"
East of England,"1,236,673","3,437,263","109,744","91,876","17,154","267,141","2,314,872"
London,"1,656,622","5,220,142","238,445","173,301","58,441","547,959","2,401,240"
South East,"1,763,138","5,174,170","144,746","162,102","36,528","367,011","3,188,529"
South West,"1,029,530","3,183,952","60,090","103,877","15,884","243,231","2,261,998"
Scotland,"799,665","2,643,857","83,078","67,140","14,555","151,673","1,973,968"
Wales,"506,035","1,528,512","43,089","55,408","8,358","147,351","1,191,185"
TOTAL,"12,246,046","34,995,540","1,151,262","1,138,865","272,722","3,011,118","23,106,685"
