rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"615,361","462,790","225,400","1,700,403"
North West,"1,988,952","1,314,438","660,239","4,728,871"
Yorkshire and The Humber,"1,411,126","974,231","502,450","3,470,883"
East Midlands,"1,337,467","903,248","550,420","3,138,234"
West Midlands,"1,629,284","1,066,620","650,778","3,871,508"
East of England,"1,894,055","1,114,230","520,853","3,945,585"
London,"3,297,755","1,421,152","674,537","4,902,708"
South East,"3,015,332","1,644,500","676,440","5,499,953"
South West,"1,680,983","1,118,483","488,363","3,610,732"
Scotland,"1,399,815","919,519","391,664","3,022,939"
Wales,"756,392","573,573","253,955","1,896,018"
TOTAL,"19,026,523","11,512,784","5,595,098","39,787,833"
