,rgn2021+scotlandrgn_id,2033,2038,2043,2048,2053
0,North East,"2,831,973","2,865,023","2,895,237","2,954,112","3,003,955"
1,North West,"8,060,916","8,227,064","8,387,438","8,549,493","8,692,499"
2,Yorkshire and The Humber,"5,916,401","6,027,458","6,133,568","6,253,927","6,358,689"
3,East Midlands,"5,420,593","5,573,454","5,717,252","5,831,206","5,929,370"
4,West Midlands,"6,580,506","6,777,514","6,965,994","7,100,097","7,218,190"
5,East of England,"6,899,473","7,053,894","7,206,254","7,351,461","7,474,724"
6,London,"9,514,244","9,744,647","9,954,345","10,125,138","10,296,151"
7,South East,"10,059,673","10,253,005","10,444,524","10,657,135","10,836,225"
8,South West,"6,302,046","6,476,573","6,641,638","6,783,510","6,898,561"
9,Scotland,"5,639,351","5,688,204","5,720,397","5,735,878","5,733,937"
10,Wales,"3,313,642","3,361,259","3,405,128","3,446,110","3,479,937"
