rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"459,880","828,300","574,685","178,621","1,671"
North West,"1,351,920","2,323,436","1,698,205","564,901","9,747"
Yorkshire and The Humber,"1,098,746","1,694,908","1,169,641","366,548","6,258"
East Midlands,"1,479,692","1,498,637","787,563","267,947","10,747"
West Midlands,"1,376,611","1,967,645","1,113,251","426,712","10,267"
East of England,"1,669,957","1,714,300","1,119,677","525,022","15,784"
London,"582,553","1,774,827","1,909,119","3,231,255","6,442"
South East,"2,313,005","2,345,987","1,670,175","952,224","24,726"
South West,"1,516,742","1,449,937","1,107,271","535,245","18,278"
Scotland,"1,095,546","1,553,275","1,092,243","327,540","7,902"
Wales,"777,173","813,689","660,648","173,029","4,811"
TOTAL,"13,721,825","17,964,941","12,902,479","7,549,044","116,633"
