rgn2021+scotlandrgn_id,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"1,217,055","46,759","46,331","12,303","116,678","604,030"
North West,"3,710,948","140,724","129,912","39,703","342,430","1,584,492"
Yorkshire and The Humber,"2,706,111","71,696","92,315","15,986","276,175","1,173,818"
East Midlands,"2,615,179","90,099","88,918","27,673","221,413","1,001,304"
West Midlands,"3,130,184","107,879","112,639","22,479","290,750","1,230,554"
East of England,"3,330,700","106,293","89,027","16,598","259,048","1,243,073"
London,"5,058,284","231,123","167,928","56,682","531,428","1,458,751"
South East,"5,014,345","140,017","157,095","35,388","355,622","1,603,650"
South West,"3,085,252","58,234","100,657","15,398","235,780","1,132,153"
Scotland,"2,634,009","82,761","66,890","14,504","151,125","1,127,218"
Wales,"1,493,121","42,040","54,125","8,165","143,954","687,945"
TOTAL,"33,995,187","1,117,625","1,105,839","264,880","2,924,404","12,846,987"
