rgn2021+scotlandrgn_id,full_time,part_time,unemployed,students
North East,"960,430","302,956","663,092","116,678"
North West,"3,010,947","829,914","1,764,918","342,430"
Yorkshire and The Humber,"2,130,848","667,578","1,261,500","276,175"
East Midlands,"2,043,750","660,347","1,119,077","221,413"
West Midlands,"2,542,670","700,154","1,360,912","290,750"
East of England,"2,664,857","754,870","1,365,964","259,048"
London,"4,207,701","1,018,511","1,746,556","531,428"
South East,"3,979,212","1,192,227","1,779,055","355,622"
South West,"2,381,451","804,458","1,205,784","235,780"
Scotland,"2,086,616","614,283","1,224,483","151,125"
Wales,"1,180,522","366,724","738,150","143,954"
TOTAL,"27,189,003","7,912,024","14,229,491","2,924,404"
