rgn2021+scotlandrgn_id,Economically active employed,Economically active unemployed,Economically inactive
North East,"1,263,386","59,062","720,707"
North West,"3,840,860","180,427","1,926,921"
Yorkshire and The Humber,"2,798,426","87,682","1,449,993"
East Midlands,"2,704,097","117,773","1,222,717"
West Midlands,"3,242,824","130,358","1,521,304"
East of England,"3,419,728","122,891","1,502,121"
London,"5,226,212","287,805","1,990,179"
South East,"5,171,439","175,405","1,959,272"
South West,"3,185,909","73,631","1,367,933"
Scotland,"2,700,899","97,265","1,278,343"
Wales,"1,547,246","50,205","831,899"
TOTAL,"35,101,026","1,382,505","15,771,391"
